cpus=12
 template_target-851439 [006] ...1. 1990798.410884: funcgraph_entry:        0.753 us   |  mutex_unlock();
 template_target-851439 [006] ...1. 1990798.410885: funcgraph_entry:        0.149 us   |  __f_unlock_pos();
 template_target-851439 [006] d..1. 1990798.410885: funcgraph_entry:        0.104 us   |  fpregs_assert_state_consistent();
 template_target-851439 [006] ...1. 1990798.410886: funcgraph_entry:                   |  __x64_sys_execve() {
          <idle>-0     [000] d..2. 1990798.410967: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [011] d..2. 1990798.410967: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [004] d..2. 1990798.410967: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [000] d..2. 1990798.410967: funcgraph_exit:         0.527 us   |  }
          <idle>-0     [002] d..2. 1990798.410967: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [001] d..2. 1990798.410967: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [000] d..2. 1990798.410968: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [011] d..2. 1990798.410969: funcgraph_exit:         1.873 us   |  }
          <idle>-0     [000] d.h2. 1990798.410969: funcgraph_exit:         1.094 us   |  }
          <idle>-0     [004] d..2. 1990798.410969: funcgraph_exit:         1.927 us   |  }
          <idle>-0     [000] d.h2. 1990798.410969: funcgraph_entry:                   |  __sysvec_apic_timer_interrupt() {
          <idle>-0     [008] d..2. 1990798.410969: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [002] d..2. 1990798.410969: funcgraph_exit:         2.200 us   |  }
          <idle>-0     [001] d..2. 1990798.410970: funcgraph_exit:         2.255 us   |  }
          <idle>-0     [007] d..2. 1990798.410970: funcgraph_entry:                   |  sched_idle_set_state() {
          <idle>-0     [008] d..2. 1990798.410970: funcgraph_exit:         1.137 us   |  }
          <idle>-0     [011] d..2. 1990798.410971: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [004] d..2. 1990798.410971: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [007] d..2. 1990798.410972: funcgraph_exit:         1.409 us   |  }
          <idle>-0     [002] d..2. 1990798.410972: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [001] d..2. 1990798.410972: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [008] d..2. 1990798.410973: funcgraph_entry:                   |  irq_enter_rcu() {
          <idle>-0     [000] d.h2. 1990798.410973: funcgraph_exit:         4.051 us   |  }
          <idle>-0     [011] d.h2. 1990798.410973: funcgraph_exit:         2.101 us   |  }
          <idle>-0     [000] d.h2. 1990798.410973: funcgraph_entry:                   |  irq_exit_rcu() {
          <idle>-0     [004] d.h2. 1990798.410973: funcgraph_exit:         2.090 us   |  }
          <idle>-0     [011] d.h2. 1990798.410974: funcgraph_entry:                   |  __sysvec_apic_timer_interrupt() {
          <idle>-0     [004] d.h2. 1990798.410974: funcgraph_entry:                   |  __sysvec_apic_timer_interrupt() {
          <idle>-0     [007] d..2. 1990798.410974: funcgraph_entry:                   |  irq_enter_rcu() {
